Timestamp,consumption,generation,net_balance,L_flex_up,L_flex_down,imb,S,D,net_balance_updated,S_updated,D_updated,delta_net_balance,delta_S,delta_D,pDAM,pIDM,pAUp,pADown,pBMUp,pBMDown
2025-07-02 01:15:00,5.19073394111378,0.0019652627925000003,-5.18876867832128,0.519073394111378,0.46716605470024014,0.4311127941902595,0.0,5.18876867832128,-4.934829234080773,0.0,4.934829234080773,0.2539394442405074,0.34495395965923215,0.09101451541872474,104.396,122.86800000000001,139.892,60.508,60.508,60.508
2025-07-02 01:30:00,5.147719599746356,0.001569350915,-5.146150248831356,0.5147719599746357,0.46329476397717195,0.4262597146407879,0.0,5.146150248831356,-5.098209973229317,0.0,5.098209973229317,0.04794027560203862,0.2299693064394881,0.18202903083744948,104.396,122.86800000000001,139.8,62.086,139.8,139.8
2025-07-02 01:45:00,5.104705258378932,0.0011734390375,-5.103531819341432,0.5104705258378932,0.4594234732541038,0.42140663509131626,0.0,5.103531819341432,-5.261590712377862,0.0,5.261590712377862,-0.15805889303643017,0.11498465321974405,0.2730435462561742,104.396,122.86800000000001,139.8,43.288,139.8,139.8
2025-07-02 02:00:00,5.061690917011507,0.00077752716,-5.060913389851508,0.5061690917011508,0.45555218253103563,0.41655355554184464,0.0,5.060913389851508,-5.424971451526407,0.0,5.424971451526407,-0.36405806167489896,0.0,0.36405806167489896,93.974,110.998,221.452,43.414,221.452,221.452
2025-07-02 02:15:00,5.091963283669207,0.00058314537,-5.091380138299208,0.5091963283669207,0.45827669553022865,0.4177044652844536,0.0,5.091380138299208,-5.5085574110961995,0.0,5.5085574110961995,-0.41717727279699224,0.0,0.41717727279699224,93.974,110.998,139.976,0.0,139.976,139.976
2025-07-02 02:30:00,5.122235650326907,0.00038876358,-5.121846886746907,0.5122235650326907,0.4610012085294216,0.41885537502706255,0.0,5.121846886746907,-5.592143370665992,0.0,5.592143370665992,-0.4702964839190855,0.0,0.4702964839190855,93.974,110.998,139.8,56.965999999999994,56.965999999999994,56.965999999999994
2025-07-02 02:45:00,5.152508016984607,0.00019438178999999997,-5.152313635194607,0.5152508016984607,0.4637257215286146,0.4200062847696715,0.0,5.152313635194607,-5.675729330235786,0.0,5.675729330235786,-0.5234156950411788,0.0,0.5234156950411788,93.974,110.998,0.0,48.848,48.848,48.848
2025-07-02 03:00:00,5.1827803836423065,0.0,-5.1827803836423065,0.5182780383642307,0.4664502345278076,0.42115719451228045,0.0,5.1827803836423065,-5.759315289805579,0.0,5.759315289805579,-0.5765349061632721,0.0,0.5765349061632721,93.51,106.33599999999998,0.0,54.013999999999996,54.013999999999996,54.013999999999996
2025-07-02 03:15:00,5.223768779056722,0.0,-5.223768779056722,0.5223768779056722,0.47013919011510497,0.42307040187338674,0.0,5.223768779056722,-5.696249331361345,0.0,5.696249331361345,-0.4724805523046234,0.0,0.4724805523046234,93.51,106.33599999999998,0.0,46.652,46.652,46.652
2025-07-02 03:30:00,5.2647571744711374,0.0,-5.2647571744711374,0.5264757174471137,0.47382814570240234,0.42498360923449297,0.0,5.2647571744711374,-5.633183372917111,0.0,5.633183372917111,-0.3684261984459747,0.0,0.3684261984459747,93.51,106.33599999999998,0.0,45.612,45.612,45.612
2025-07-02 03:45:00,5.305745569885552,0.0,-5.305745569885552,0.5305745569885553,0.4775171012896997,0.4268968165955992,0.0,5.305745569885552,-5.570117414472878,0.0,5.570117414472878,-0.264371844587326,0.0,0.264371844587326,93.51,106.33599999999998,0.0,39.336,39.336,39.336
2025-07-02 04:00:00,5.3467339652999675,0.0,-5.3467339652999675,0.5346733965299968,0.4812060568769971,0.4288100239567055,0.0,5.3467339652999675,-5.507051456028645,0.0,5.507051456028645,-0.1603174907286773,0.0,0.1603174907286773,92.034,101.422,0.0,48.58,48.58,48.58
2025-07-02 04:15:00,5.394390752059582,0.0,-5.394390752059582,0.5394390752059584,0.48549516768536244,0.43028101436580285,0.0,5.394390752059582,-5.399720796732932,0.0,5.399720796732932,-0.005330044673350187,0.11490807337315778,0.12023811804650797,92.034,101.422,0.0,46.102,48.58,48.58
2025-07-02 04:30:00,5.442047538819198,0.0,-5.442047538819198,0.5442047538819198,0.4897842784937278,0.43175200477490017,0.0,5.442047538819198,-5.292390137437221,0.0,5.292390137437221,0.14965740138197692,0.22981614674631556,0.08015874536433865,92.034,101.422,0.0,49.507999999999996,49.507999999999996,49.507999999999996
2025-07-02 04:45:00,5.489704325578813,0.0,-5.489704325578813,0.5489704325578812,0.49407338930209316,0.43322299518399754,0.0,5.489704325578813,-5.185059478141509,0.0,5.185059478141509,0.304644847437304,0.34472422011947335,0.04007937268216932,92.034,101.422,0.0,64.26,64.26,64.26
2025-07-02 05:00:00,5.537361112338428,0.0,-5.537361112338428,0.5537361112338428,0.4983625001104585,0.4346939855930949,0.0,5.537361112338428,-5.077728818845797,0.0,5.077728818845797,0.4596322934926311,0.4596322934926311,-0.0,100.99,99.26,0.0,53.824,53.824,53.824
2025-07-02 05:15:00,5.6377245348809355,0.02241133283174554,-5.61531320204919,0.5637724534880936,0.5073952081392842,0.4322686581240897,0.0,5.61531320204919,-5.320876090431704,0.0,5.320876090431704,0.29443711161748554,0.34472422011947335,0.05028710850198781,100.99,99.26,0.0,31.189999999999998,31.189999999999998,31.189999999999998
2025-07-02 05:30:00,5.738087957423443,0.04482266566349108,-5.6932652917599516,0.5738087957423443,0.5164279161681099,0.4298433306550845,0.0,5.6932652917599516,-5.564023362017611,0.0,5.564023362017611,0.12924192974233994,0.22981614674631556,0.10057421700397562,100.99,99.26,0.0,20.594,20.594,20.594
2025-07-02 05:45:00,5.83845137996595,0.06723399849523662,-5.771217381470713,0.583845137996595,0.5254606241969355,0.4274180031860793,0.0,5.771217381470713,-5.807170633603519,0.0,5.807170633603519,-0.035953252132805646,0.11490807337315778,0.15086132550596343,100.99,99.26,0.0,-916.758,-916.758,-916.758
2025-07-02 06:00:00,5.938814802508458,0.08964533132698216,-5.849169471181475,0.5938814802508458,0.5344933322257612,0.4249926757170741,0.0,5.849169471181475,-6.050317905189426,0.0,6.050317905189426,-0.20114843400795124,0.0,0.20114843400795124,115.67,120.44200000000001,0.0,-1048.196,-1048.196,-1048.196
